Production Countries,No. of Movies,Average Production Budget,Total Worldwide Box Office
United States,"24,344","$37,946,691","$631,802,271,246"
United Kingdom,"4,458","$30,686,479","$56,047,913,679"
China,"2,825","$36,834,138","$48,612,652,703"
France,"4,259","$22,092,334","$21,092,508,762"
Japan,"2,000","$31,739,412","$18,467,102,568"
Germany,"2,055","$30,083,214","$11,037,283,163"
Republic of Korea,"1,899","$16,756,481","$9,704,263,830"
Canada,"1,934","$20,478,697","$8,693,461,399"
Australia,"1,058","$31,050,900","$8,264,329,058"
India,"2,565","$14,919,521","$8,187,077,983"
New Zealand,290,"$59,255,333","$7,413,416,339"
Hong Kong,480,"$24,077,778","$7,332,136,410"
Italy,"1,973","$16,524,375","$4,627,337,602"
Spain,"1,871","$23,029,052","$4,479,269,219"
Russian Federation,"1,338","$12,590,889","$2,822,917,524"
Belgium,669,"$16,113,575","$2,382,887,342"
Mexico,620,"$12,148,485","$2,139,788,773"
Sweden,338,"$15,142,857","$1,464,274,504"
Netherlands,574,"$18,963,043","$1,416,668,712"
Ireland,370,"$17,753,500","$1,370,090,581"
Brazil,585,"$14,559,868","$1,119,643,075"
Turkey,"1,247","$10,733,333","$1,069,181,800"
"Taiwan, Province of China",178,"$13,685,714","$952,034,056"
Denmark,327,"$11,924,181","$857,541,542"
Finland,181,"$13,414,875","$758,985,400"
Czech Republic,411,"$31,883,333","$737,938,913"
Poland,359,"$7,934,909","$715,259,903"
Switzerland,287,"$21,182,727","$700,188,932"
Argentina,921,"$11,075,000","$641,818,116"
South Africa,180,"$18,395,526","$608,903,753"
Hungary,142,"$34,924,417","$570,817,401"
United Arab Emirates,50,"$24,957,500","$539,368,692"
Malta,16,"$66,666,667","$520,548,489"
Austria,209,"$11,041,667","$323,088,171"
Panama,12,"$36,000,000","$305,439,992"
Colombia,92,"$5,125,000","$280,918,323"
Luxembourg,121,"$19,141,667","$280,338,420"
Norway,233,"$5,539,286","$279,547,318"
Tunisia,27,"$35,000,000","$249,467,149"
Romania,217,"$11,443,667","$233,741,246"
Thailand,146,"$7,387,500","$231,370,567"
Morocco,39,"$36,225,000","$229,669,117"
Chile,126,"$9,100,000","$198,263,677"
Slovakia,169,"$36,000,000","$181,334,794"
Uruguay,55,"$135,000,000","$169,200,779"
Paraguay,17,"$135,000,000","$165,740,252"
Iceland,80,"$17,850,000","$145,415,983"
Philippines,173,$0,"$128,111,926"
Israel,231,"$2,500,000","$127,938,263"
Ukraine,85,"$26,000,000","$106,302,954"
Peru,44,"$1,200,000","$96,900,282"
Kuwait,7,"$80,000,000","$96,775,326"
Lebanon,47,"$4,625,000","$87,382,532"
Islamic Republic of Iran,105,"$3,484,286","$85,876,861"
Greece,101,"$2,607,667","$84,287,917"
Cuba,45,$0,"$67,634,816"
Portugal,364,"$800,000","$65,206,176"
Bolivarian Republic of Venezuela,28,"$1,400,000","$56,326,599"
Bahamas,8,"$31,500,000","$56,207,252"
Latvia,49,"$9,500,000","$53,699,230"
Malaysia,43,"$25,000,000","$53,695,818"
Algeria,17,"$10,100,000","$47,510,533"
Greenland,5,"$21,000,000","$46,084,208"
The Former Yugoslav Republic of Macedonia,36,"$5,000,000","$45,348,525"
Bulgaria,123,"$10,750,000","$43,927,131"
Botswana,4,$0,"$43,923,227"
Singapore,39,$0,"$43,494,364"
Croatia,70,"$40,000,000","$37,912,903"
Namibia,4,"$75,000,000","$34,034,218"
Estonia,45,"$1,250,000","$33,273,851"
German Democratic Republic,15,"$5,000,000","$29,573,980"
Kazakhstan,34,"$29,000,000","$28,819,388"
Lithuania,125,"$500,000","$27,360,005"
Cayman Islands,3,"$9,000,000","$19,894,696"
Costa Rica,10,"$20,000,000","$19,513,972"
Indonesia,75,"$950,000","$18,894,993"
Serbia,61,$0,"$18,883,910"
Saudi Arabia,22,"$85,000,000","$18,049,536"
Pakistan,68,"$1,100,000","$16,413,610"
Qatar,68,"$5,428,333","$15,424,276"
Bosnia and Herzegovina,30,"$20,500,000","$14,943,578"
