"place","pop2024","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","borders","Rank","CatPopulationByCountry"
156,1425178782,-0.00035,9706961,"China","CHN","CN",156,"Asia","Eastern Asia",true,"People's Republic of China",9424702.9,151.2174,391.653,"AFG, BTN, MMR, HKG, IND, KAZ, PRK, KGZ, LAO, MAC, MNG, PAK, RUS, TJK, VNM",2,53100000
840,341814420,0.00535,9372610,"United States","USA","US",840,"North America","Northern America",true,"United States of America",9147420,37.3673,96.7813,"CAN, MEX",3,74059000
643,143957079,-0.00337,17098242,"Russia","RUS","RU",643,"Europe","Eastern Europe",true,"Russian Federation",16376870,8.7903,22.7668,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, PRK, LVA, LTU, MNG, NOR, POL, UKR",9,23150000
392,122631432,-0.00538,377930,"Japan","JPN","JP",392,"Asia","Eastern Asia",true,"Japan",364500,336.4374,871.3729,"",12,7300000
792,86260417,0.00518,783562,"Turkey","TUR","TR",792,"Asia","Western Asia, The Middle East",true,"Republic of Turkey",783562,110.0875,285.1267,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR",18,4660000
276,83252474,-0.00051,357114,"Germany","DEU","DE",276,"Europe","Western Europe",true,"Federal Republic of Germany",349390,238.2795,617.1439,"AUT, BEL, CZE, DNK, FRA, LUX, NLD, POL, CHE",19,15200000
826,67961439,0.00332,242900,"United Kingdom","GBR","GB",826,"Europe","Northern Europe",true,"United Kingdom of Great Britain and Northern Ireland",241930,280.9136,727.5663,"IRL",22,12000000
250,64881830,0.00193,551695,"France","FRA","FR",250,"Europe","Western Europe",true,"French Republic",547557,118.4933,306.8976,"AND, BEL, DEU, ITA, LUX, MCO, ESP, CHE",23,14900000
710,61020221,0.01003,1221037,"South Africa","ZAF","ZA",710,"Africa","Southern Africa, Sub-Saharan Africa",true,"Republic of South Africa",1213090,50.3015,130.2808,"BWA, LSO, MOZ, NAM, SWZ, ZWE",24,2000000
380,58697744,-0.00294,301336,"Italy","ITA","IT",380,"Europe","Southern Europe",true,"Italian Republic",295717,198.493,514.0968,"AUT, FRA, SMR, SVN, CHE, VAT",25,10228000
724,47473373,-0.00097,505992,"Spain","ESP","ES",724,"Europe","Southern Europe",true,"Kingdom of Spain",499556.6,95.031,246.1303,"AND, FRA, GIB, PRT, MAR",32,5859000
32,46057866,0.0062,2780400,"Argentina","ARG","AR",32,"South America","South America, Latin America",true,"Argentine Republic",2736690,16.8298,43.5891,"BOL, BRA, CHL, PRY, URY",35,3000000
616,40221726,-0.01961,312679,"Poland","POL","PL",616,"Europe","Eastern Europe",true,"Republic of Poland",306130,131.3877,340.2942,"BLR, CZE, DEU, LTU, RUS, SVK, UKR",37,7125000
804,37937821,0.03247,603500,"Ukraine","UKR","UA",804,"Europe","Eastern Europe",true,"Ukraine",579400,65.4778,169.5874,"BLR, HUN, MDA, POL, ROU, RUS, SVK",40,7630000
36,26699482,0.00985,7692024,"Australia","AUS","AU",36,"Oceania","Australia and New Zealand",true,"Commonwealth of Australia",7692020,3.4711,8.9901,"",55,2200000
642,19618996,-0.01377,238391,"Romania","ROU","RO",642,"Europe","Eastern Europe",true,"Romania",230080,85.2703,220.8501,"BGR, HUN, MDA, SRB, UKR",66,4371000
528,17671125,0.003,41850,"Netherlands","NLD","NL",528,"Europe","Western Europe",true,"Netherlands",33670,524.8329,1359.3173,"BEL, DEU",72,1900000
56,11715774,0.00254,30528,"Belgium","BEL","BE",56,"Europe","Western Europe",true,"Kingdom of Belgium",30280,386.9146,1002.1088,"FRA, DEU, LUX, NLD",82,2536000
752,10673669,0.0058,450295,"Sweden","SWE","SE",752,"Europe","Northern Europe",true,"Kingdom of Sweden",407283.5,26.207,67.8761,"FIN, NOR",88,1703000
203,10503734,0.0008,78865,"Czech Republic","CZE","CZ",203,"Europe","Eastern Europe",true,"Czech Republic",77198.5,136.0614,352.399,"AUT, DEU, POL, SVK",90,1364000
300,10302720,-0.00373,131990,"Greece","GRC","GR",300,"Europe","Southern Europe",true,"Hellenic Republic",128900,79.928,207.0135,"ALB, BGR, TUR, MKD",93,608000
620,10223349,-0.00237,92090,"Portugal","PRT","PT",620,"Europe","Southern Europe",true,"Portuguese Republic",91605.6,111.6018,289.0486,"ESP",94,1795000
348,9994993,-0.01588,93028,"Hungary","HUN","HU",348,"Europe","Eastern Europe",true,"Hungary",91260,109.5222,283.6624,"AUT, HRV, ROU, SRB, SVK, SVN, UKR",95,2388000
756,8851431,0.00623,41284,"Switzerland","CHE","CH",756,"Europe","Western Europe",true,"Swiss Confederation",39516,223.9961,580.15,"AUT, FRA, ITA, LIE, DEU",102,1793000
100,6618615,-0.01033,110879,"Bulgaria","BGR","BG",100,"Europe","Eastern Europe",true,"Republic of Bulgaria",108560,60.9673,157.9054,"GRC, MKD, ROU, SRB, TUR",110,815000
208,5939695,0.00487,43094,"Denmark","DNK","DK",208,"Europe","Northern Europe",true,"Kingdom of Denmark",40000,148.4924,384.5953,"DEU",115,669000
703,5702832,-0.01594,49037,"Slovakia","SVK","SK",703,"Europe","Eastern Europe",true,"Slovak Republic",49035,116.3013,301.2202,"AUT, CZE, HUN, POL, UKR",117,540000
246,5549886,0.0008,338424,"Finland","FIN","FI",246,"Europe","Northern Europe",true,"Republic of Finland",303940,18.2598,47.2929,"NOR, SWE, RUS",118,982000
