country,number-of-visitors
France,117109000
Mexico,51128000
United States,45037000
Italy,38419000
Spain,36410000
Hungary,31641000
China,30402000
Croatia,21608000
Turkey,15971000
Denmark,15595000
Austria,15091000
Germany,12449000
United Kingdom,11101000
United States Virgin Islands,8612000
United Arab Emirates,8084000
Greece,7406000
Netherlands,7265000
Russia,6359000
Macau,5897000
Andorra,5207000
Romania,5023000
Bulgaria,4973000
Malaysia,4333000
Portugal,4208000
Japan,4115800
Indonesia,4053000
South Africa,3886600
Puerto Rico,3882000
Vietnam,3837000
Belarus,3598000
Hong Kong,3569000
Ukraine,3382000
Latvia,3204000
Morocco,2802000
Dominican Republic,2748000
Singapore,2742000
Albania,2658000
Belgium,2584000
South Korea,2519000
Lithuania,2284000
Kuwait,2161000
Kazakhstan,2035000
Tunisia,2012000
Sweden,1957000
Bahrain,1909000
Australia,1828000
Bahamas,1794500
Estonia,1695000
Iran,1550000
Georgia,1513000
Philippines,1483000
Norway,1397000
Colombia,1396000
Jamaica,1329700
Cambodia,1306000
Jordan,1240000
Slovenia,1216000
Costa Rica,1146500
Peru,1119000
Cuba,1086000
Paraguay,1077000
Brunei,1071000
New Zealand,996000
Myanmar,903000
Finland,896000
Laos,886400
Oman,869000
Azerbaijan,796000
Malta,718000
El Salvador,707000
Honduras,669000
Ivory Coast,668000
Cayman Islands,660000
Panama,647000
Zimbabwe,639000
Guatemala,594000
Algeria,591000
Qatar,582000
Maldives,555000
Sri Lanka,540000
Luxembourg,525000
Ethiopia,518000
Zambia,502000
Iceland,488000
Belize,487000
Togo,482000
Nicaragua,474000
Uganda,473000
Serbia,446000
Saint Lucia,432500
Antigua and Barbuda,384500
Armenia,375000
Turks and Caicos Islands,370400
Montenegro,351000
Eswatini,345300
Guam,328000
Bolivia,323300
Mauritius,316000
Saint Kitts and Nevis,301400
Gambia,246000
Nepal,230000
Grenada,217000
Bosnia and Herzegovina,197000
Namibia,187100
Cape Verde,180000
Fiji,168000
Monaco,159000
Trinidad and Tobago,141000
Dominica,140000
Seychelles,124500
North Macedonia,118000
French Polynesia,89400
Madagascar,87100
Guyana,86400
Niger,85000
British Virgin Islands,83000
Vanuatu,82400
Burkina Faso,67000
Mongolia,66900
Liechtenstein,58400
Bermuda,51400
Papua New Guinea,39000
New Caledonia,31000
Bhutan,29800
Moldova,29000
Samoa,23900
Palau,18400
Chad,10400
Comoros,7000
Solomon Islands,4400
American Samoa,900
