country,Trade Balance (% of GDP),Government Revenue (% of GDP),GDP per Capita (in USD),Military Expenditure (in million USD),Int'l Tourist Arrivals,Dog Ownership,Cat Ownership,Bird Ownership,Aquaria Ownership,Smal Mammal Ownership,Terraria Ownership,Movie Production,Global Box Office (in USD),Air Quality,Hapiness Score,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index
Afghanistan,,,,278.25,,,,,,,,21,"5,067,922",62.49,1.859,62,3,"1,824",0.678
Albania,-7.8,27.62,15138.76,236.42,2658000,,,,,,,13,"1,668,679",16.28,5.277,76.5,11.3,"14,131",0.144
Algeria,7.16,33.38,10897.17,9112.46,591000,,,,,,,17,"47,510,533",22.68,5.329,76.4,8.1,"10,800",0.499
Andorra,17.11,37.14,56644.69,,5207000,,,,,,,1,"4,325",8.52,,80.4,10.6,"51,167",
Angola,11.03,23.4,5863.09,981.45,,,,,,,,7,"78,698",27.16,,61.6,5.4,"5,466",0.537
Antigua and Barbuda,-13.36,21.19,18822.63,,384500,,,,,,,,,8.3,,78.5,9.3,"16,792",
Argentina,-0.65,33.37,22415.3,2591.64,,9200000,3000000,,,,,920,"641,763,298",12.04,6.024,75.4,11.1,"20,925",0.287
Armenia,0.08,24.28,15070.69,619.44,375000,,,,,,,16,"5,233,261",34.13,5.342,72,11.3,"13,158",0.216
Aruba,11.1,21.42,40012.08,,,,,,,,,,,,,,,,
Australia,1.2,35.13,53113.79,31753.72,1828000,3700000,2200000,7800000,,,,"1,058","8,263,951,308",8.93,7.095,84.5,12.7,"49,238",0.073
Austria,0.33,49.08,56729.96,3825.33,15091000,766000,0,195000,310000,508 000\r,129000,209,"323,088,171",11.51,7.097,81.6,12.3,"53,619",0.053
Azerbaijan,30.46,35.56,14963.43,2703.18,796000,,,,,,,10,"102,961",24.64,,69.4,10.5,"14,257",0.294
Bahamas,-14.18,21.23,34743.2,,,,,,,,,,,5.2,,71.6,12.6,"30,486",0.329
Bahrain,9.06,23.47,49191.62,1381.38,1909000,,,,,,,1,"19,130",51.82,6.173,78.8,11,"39,497",0.181
Bangladesh,-4.06,8.74,6733.53,4882.6,,,,,,,,15,"475,338",45.99,4.282,72.4,7.4,"5,472",0.53
Barbados,-10.79,29.06,14701.55,,,,,,,,,1,"1,105",9.79,,77.6,9.9,"12,306",0.268
Belarus,4.19,31.96,18896.62,762.78,3598000,,,,,,,15,"7,299,428",15.48,,72.4,12.1,"18,849",0.104
Belgium,-3.37,49.35,53415.32,6311.49,2584000,2029000,2536000,331000,320000,1026000,160000,665,"2,382,868,136",11.26,6.859,81.9,12.4,"52,293",0.048
Belize,-8.5,22.1,8841.53,21.82,487000,,,,,,,1,0,10.51,,70.5,8.8,"6,309",0.364
Benin,-5.74,13.93,3408.03,97.42,,,,,,,,1,0,31.51,4.374,59.8,4.3,"3,409",0.602
Bhutan,-32.07,27.29,11149.48,,29800,,,,,,,4,"1,178,662",26.1,,71.8,5.2,"9,438",0.415
Bolivia,-1.45,29,8392.86,625.34,323300,,,,,,,11,"206,928",,5.684,,,,
Bosnia and Herzegovina,-3.85,39.58,15637.34,192.2,197000,,,,,,,30,"14,943,578",26.19,5.633,75.3,10.5,"15,242",0.136
Botswana,3.14,29.85,15538.13,517.85,,,,,,,,4,"43,923,227",12.82,3.435,61.1,10.3,"16,198",0.468
Brazil,-2.91,38.75,15192.45,19187.12,,,,191001000,,,,585,"1,119,643,075",10.94,6.125,72.8,8.1,"14,370",0.39
Brunei Darussalam,26.55,25.3,59707.91,453.34,1071000,,,,,,,1,"993,251",6.86,,74.6,9.2,"64,490",0.259
Bulgaria,-0.68,37.43,25590.44,1216.59,4973000,750000,815000,45000,70000,60000,14000,123,"43,927,131",17.29,5.466,71.8,11.4,"23,079",0.21
Burkina Faso,-5.18,20.95,2179.68,458.28,67000,,,,,,,3,"7,849",40.74,4.638,59.3,2.1,"2,118",0.621
