"country","year","ca_balance_perGDP","gov_revenue_perGDP","gdp_per_capita_usd","military_expenditure_usd"
"Afghanistan",2020,11.157,25.694,516.866552182696,279576954.925193
"Albania",2020,-8.677,25.905,5332.16047456847,187433233.87483
"Algeria",2020,-12.846,30.53,3337.25251157504,9708277440.22726
"Andorra",2020,14.634,40.485,37207.4938608348,NA
"Angola",2020,1.526,21.345,1603.99347745326,993594404.625879
"Antigua and Barbuda",2020,-16.893,20.399,14787.6357752901,NA
"Argentina",2020,0.795,33.471,8496.42414176374,2830929705.21542
"Armenia",2020,-3.78,25.246,4505.86736397124,633960400.11526
"Aruba",2020,-12.121,22.929,24487.8635601966,NA
"Australia",2020,2.195,35.892,51720.3707634401,27300894700.6194
"Austria",2020,2.977,48.732,48809.2268762243,3601618602.53049
"Azerbaijan",2020,-0.533,33.711,4229.91064904503,2237764705.88235
"Bahrain",2020,-9.372,17.89,23501.9194628168,1404787234.04255
"Bangladesh",2020,-1.454,8.468,2233.30552399269,4558171467.63472
"Barbados",2020,-5.886,28.422,16643.8065787177,NA
"Belarus",2020,-0.423,35.175,6542.79749130553,707418032.786885
"Belgium",2020,1.105,49.929,45517.7949301847,5442835974.01117
"Belize",2020,-6.15,24.198,5266.87616004213,26699200
"Benin",2020,-1.746,14.389,1237.94929535039,71817818.4788086
"Bhutan",2020,-15.797,31.126,3009.92417072191,NA
"Bolivia",2020,-0.071,25.254,3068.81255507604,510495827.347146
"Bosnia and Herzegovina",2020,-3.256,40.769,6012.06276705855,167521865.889213
"Botswana",2020,-8.654,25.659,5863.20324072216,499027479.519605
"Brazil",2020,-1.911,33.684,6794.48915877166,19591209004.4634
"Brunei Darussalam",2020,4.279,17.462,27179.4119853371,436548223.350254
"Bulgaria",2020,0.04,34.862,10129.8129597638,1074134514.51218
"Burkina Faso",2020,4.144,19.137,833.244342636324,382464677.360491
"Burundi",2020,-10.282,23.107,216.826741341377,67474092.716297
"Cabo Verde",2020,-15.012,24.691,2924.10180677162,11279268.103582
"Cambodia",2020,-8.466,23.925,1577.91174726099,646974133.281472
"Cameroon",2020,-3.713,13.392,1539.13055856256,393299390.063774
"Canada",2020,-2.153,41.799,43258.2638715601,23281319910.5145
"Central African Republic",2020,-8.165,21.75,435.469251582856,44348098.076355
"Chad",2020,-7.294,21.096,643.772221286329,322866526.49139
"Chile",2020,-1.948,21.975,13094.4595313609,5286204682.97164
"China",2020,1.674,25.685,10408.6697561349,257973429833.565
"Colombia",2020,-3.46,26.6,5307.21522798919,9554131505.35102
"Comoros",2020,-1.703,18.251,1519.58682298786,NA
"Costa Rica",2020,-1.024,13.912,12132.8768848243,0
"Croatia",2020,-0.531,46.672,14198.7539594744,1013002721.49985
"Cyprus",2020,-10.055,38.826,28036.189453125,483415023.367149
"Czech Republic",2020,1.991,41.452,22992.8793833348,3252505061.81881
"Côte d'Ivoire",2020,-3.136,14.59,2288.11949762033,607155889.9682
"Democratic Republic of the Congo",2020,-2.248,8.951,524.666675441091,362091615.539271
"Denmark",2020,7.878,53.751,60915.4243995462,4980428134.55658
"Djibouti",2020,11.317,23.451,2917.9962809563,NA
"Dominica",2020,-35.441,60.127,7003.46989117043,NA
"Dominican Republic",2020,-1.694,14.187,7167.91915908327,599052525.398084
"Ecuador",2020,2.713,29.408,5645.19928965332,2356300000
"Egypt",2020,-2.919,18.227,3398.80143153083,4505374644.32501
"El Salvador",2020,0.826,24.873,3903.39583878605,343900000
"Equatorial Guinea",2020,-4.151,14.102,6327.59901151363,162373364.380419
"Eritrea",2020,14.222,31.107,NA,NA
"Estonia",2020,-0.992,39.364,23595.2436836441,718112390.288385
"Eswatini",2020,7.064,28.91,3372.89560064925,75040988.5839203
"Ethiopia",2020,-4.6,11.705,918.652594077418,504066088.251296
"Fiji",2020,-12.704,23.35,4864.11704680273,72184232.7798278
"Finland",2020,0.555,51.62,49170.7521512441,4087541319.95897
"France",2020,-1.797,52.52,39055.2829280754,52747064858.0873
"Gabon",2020,-6.897,17.615,6680.08267035383,263471597.129303
"Georgia",2020,-12.499,25.213,4255.74299321254,287864077.669903
"Germany",2020,7.055,46.075,46772.8253507545,53210988259.4324
"Ghana",2020,-3.798,14.068,2176.57945945697,239887164.283223
"Greece",2020,-7.331,48.973,17658.9473011192,5301379231.73373
"Grenada",2020,-16.426,28.137,8437.56673228706,NA
"Guatemala",2020,4.937,10.688,4604.57667897864,342766481.025774
"Guinea",2020,-16.148,13.907,1073.65933709951,206992890.786064
"Guinea-Bissau",2020,-2.558,15.397,710.258138543444,23306688.4459659
"Guyana",2020,-16.325,22.763,6863.07434593017,76541839.6831168
"Haiti",2020,1.091,7.485,1283.14082978936,26380884.7832535
"Honduras",2020,2.862,23.352,2354.11961431042,350370790.614742
"Hong Kong SAR",2020,6.993,20.678,46107.7652757721,NA
"Hungary",2020,-1.133,43.547,16120.9890495243,2771214572.00579
"Iceland",2020,0.857,42.191,59200.1779441092,0
"India",2020,0.899,18.177,1910.42147282449,72937064047.7993
"Indonesia",2020,-0.417,12.461,3894.27220196922,9386956717.64656
"Iraq",2020,-10.873,31.322,4332.30412463995,5649373636.97996
"Ireland",2020,-6.842,22.313,85420.1908556097,1144420380.71355
"Islamic Republic of Iran",2020,-0.362,7.239,2746.42044957439,15825143121.2886
"Israel",2020,5.461,33.978,44846.7915954816,21816569767.4419
"Italy",2020,3.854,47.337,31911.0357890017,28921342756.1837
"Jamaica",2020,-0.442,29.525,4897.26589668631,236865671.641791
"Japan",2020,2.929,35.499,39918.1675583443,51970830952.5371
"Jordan",2020,-5.671,22.406,4042.7693498462,2055915492.95775
"Kazakhstan",2020,-4.436,17.509,9121.63713797145,1548175774.90918
"Kenya",2020,-4.76,16.666,1936.42458891104,1115321770.3237
"Kiribati",2020,39.994,131.554,1430.55157354026,NA
"Korea",2020,4.615,22.862,31721.2989141857,45523984708.1062
"Kosovo",2020,-6.973,25.641,NA,NA
"Kuwait",2020,3.986,55.12,24300.32943621,6941042345.27687
"Kyrgyz Republic",2020,4.801,30.837,1182.52170043018,131104408.704628
"Lao P.D.R.",2020,-5.147,12.99,2593.35509719847,NA
"Latvia",2020,2.601,37.424,18207.1396408631,742049469.964664
"Lebanon",2020,-15.104,16.028,5599.95752260733,1921393034.82587
"Lesotho",2020,-0.999,53.379,989.847170700549,38618836.5314549
"Liberia",2020,-16.399,31.266,597.529691893048,12123500
"Libya",2020,-8.475,35.069,7568.04201096325,NA
"Lithuania",2020,7.3,34.723,20339.5212699052,1174056765.07466
"Luxembourg",2020,4.08,43.304,117370.496900162,405790493.559786
"Macao SAR",2020,14.867,27.783,37646.3161952623,NA
"Madagascar",2020,-5.375,12.398,462.404223694817,87357752.0692398
"Malawi",2020,-13.77,14.546,628.699481965162,89409367.9509825
"Malaysia",2020,4.167,20.16,10160.7832470071,3374583531.65159
"Maldives",2020,-35.532,26.441,7282.35848902548,NA
"Mali",2020,-2.199,20.516,822.906143972366,593865883.538673
"Malta",2020,4.602,36.365,28977.5655673636,67983586.0025077
"Marshall Islands",2020,22.165,69.633,5567.97272706332,NA
"Mauritania",2020,-6.692,20.949,1868.4665735741,198530037.214248
"Mauritius",2020,-8.797,21.613,9007.41910231356,18478399.3883013
"Mexico",2020,2.09,24.151,8655.00068206803,8044880863.7379
"Micronesia",2020,3.661,62.278,3639.41269869588,NA
"Moldova",2020,-7.692,31.369,4500.62446389838,44533780.6571032
"Mongolia",2020,-5.067,27.884,4041.17419587656,112178387.650086
