country,trade_balance,government_revenue,GDP_per_capita,military_expenditure,tourist_arrivals,dog_ownership,cat_ownership,box_office_numbers,happiness,life_expectancy,mean_years_of_schooling,forest_area,renewables
Afghanistan,,,,278.25,,,,5067.922,1.859,62,3,1208.44,
Albania,-7.8,27.62,15138.76,236.42,2658,,,1668.679,5.277,76.5,11.3,788.9,
Algeria,7.16,33.38,10897.17,9112.46,591,,,47510.533,5.329,76.4,8.1,1949,0.84
Andorra,17.11,37.14,56644.69,,5207,,,4.325,,80.4,10.6,16,
Angola,11.03,23.4,5863.09,981.45,,,,78.698,,61.6,5.4,66607.38,
Antigua and Barbuda,-13.36,21.19,18822.63,,384.5,,,0,,78.5,9.3,0,
Argentina,-0.65,33.37,22415.3,2591.64,,9200,3000,641763.298,6.024,75.4,11.1,28573,31.49
Armenia,0.08,24.28,15070.69,619.44,375,,,5233.261,5.342,72,11.3,328.47,
Aruba,11.1,21.42,40012.08,,,,,0,,,,0.42,
Australia,1.2,35.13,53113.79,31753.72,1828,3700,2200,8263951.308,7.095,84.5,12.7,134005.1,33.22
Austria,0.33,49.08,56729.96,3825.33,15091,766,0,323088.171,7.097,81.6,12.3,3899.15,77.32
Azerbaijan,30.46,35.56,14963.43,2703.18,796,0,0,102.961,,69.4,10.5,1131.77,6.34
The Bahamas,-14.18,21.23,34743.2,,0,0,0,0,,71.6,12.6,509.86,
Bahrain,9.06,23.47,49191.62,1381.38,1909,0,0,19.13,6.173,78.8,11,0.7,
Bangladesh,-4.06,8.74,6733.53,4882.6,0,0,0,475.338,4.282,72.4,7.4,1883.4,1.91
Barbados,-10.79,29.06,14701.55,,0,0,0,1.105,,77.6,9.9,6.3,
Belarus,4.19,31.96,18896.62,762.78,3598,0,0,7299.428,,72.4,12.1,8767.6,2.71
Belgium,-3.37,49.35,53415.32,6311.49,2584,2029,2536,2382868.136,6.859,81.9,12.4,689.3,25.48
Belize,-8.5,22.1,8841.53,21.82,487,0,0,0,,70.5,8.8,1277.05,
Benin,-5.74,13.93,3408.03,97.42,0,0,0,0,4.374,59.8,4.3,3135.15,
Bhutan,-32.07,27.29,11149.48,,29.8,0,0,1178.662,,71.8,5.2,2725.08,
Bolivia,-1.45,29,8392.86,625.34,323.3,0,0,206.928,5.684,,,50833.76,37.53
Bosnia and Herzegovina,-3.85,39.58,15637.34,192.2,197,0,0,14943.578,5.633,75.3,10.5,0,
Botswana,3.14,29.85,15538.13,517.85,0,0,0,43923.227,3.435,61.1,10.3,15254.7,
Brazil,-2.91,38.75,15192.45,19187.12,0,0,0,1119643.075,6.125,72.8,8.1,496619.6,86.98
Brunei Darussalam,26.55,25.3,59707.91,453.34,1071,0,0,993.251,,74.6,9.2,0,
Bulgaria,-0.68,37.43,25590.44,1216.59,4973,750,815,43927.131,5.466,71.8,11.4,3893,18.67
Burkina Faso,-5.18,20.95,2179.68,458.28,67,0,0,7.849,4.638,59.3,2.1,0,
Burundi,-15.67,26.85,724.81,68.38,0,0,0,0,,61.7,3.1,279.64,69.44
Cabo Verde,-7.49,23.7,7638.78,11.21,180,0,0,0,,74.1,6.3,0,
Cambodia,-26.92,22.14,4743.2,643.38,1306,0,0,2447.747,4.393,69.6,5.1,8068.37,
Cameroon,-1.58,16.12,3738.75,443.34,0,0,0,3074.051,4.973,60.3,6.2,20340.48,
Canada,-0.39,40.78,49368.96,26449.16,0,0,0,8693461.399,6.961,82.7,13.8,346928.1,69.71
Central African Republic,-13.31,12.34,914.83,43.2,0,0,0,0,,53.9,4.3,0,
Chad,2.84,21.74,1448.82,331,10.4,0,0,279.502,4.397,52.5,2.6,4313,
Chile,-9.01,27.89,24630.98,6230.44,0,0,0,198261.487,6.334,78.9,10.9,18210.7,52.96
China,2.31,25.54,18117.15,293351.87,30402,27400,53100,48612619.99,5.818,78.2,7.6,219978.18,30.18
Colombia,-6.24,27.56,15890.14,10180.13,1396,0,0,280918.323,5.63,72.8,8.9,59141.91,76.19
Comoros,-4.57,13.93,2843.86,,7,0,0,0,3.545,63.4,5.1,32.92,
Costa Rica,-4.33,16.59,21177.3,,1146.5,0,0,19513.972,6.609,77,8.8,0,
Cote d'Ivoire,-6.54,14.72,5525.01,637.66,0,0,0,49.967,5.053,58.6,5.2,0,
Croatia,-1.24,44.74,33998.23,1739.75,21608,0,0,37901.748,6.125,77.6,12.2,1939.11,63.27
Cyprus,-8.83,42.12,43849.4,517.5,0,0,0,7865.74,6.13,81.2,12.4,172.53,16.92
Czech Republic,-2.16,41.25,41855.54,3935.63,0,2211,1364,737818.561,6.845,,,2677.09,12.34
Democratic Republic of the Congo,-2.22,17.19,1167.88,306.08,0,0,0,84.087,3.207,59.2,7,0,
Denmark,12.82,51.67,60067.11,5391.22,15595,617,669,857541.542,7.586,81.4,13,628.44,83.99
Djibouti,-5,18.56,5479.47,,0,0,0,993.251,,62.3,4.1,5.8,
Dominica,-26.7,44.24,11071.28,,140,0,0,0,,72.8,8.1,47.87,
Dominican Republic,-5.81,15.45,20440.74,581.62,2748,0,0,11545.683,5.569,72.6,9.3,0,
Ecuador,2.23,36.12,10865.67,2417,0,0,0,2.742,5.559,73.7,8.8,12497.83,75.9
Egypt,-3.48,18.92,13618.84,5165.45,0,0,0,10897.835,4.17,70.2,9.6,44.98,11.22
El Salvador,-8.34,26.49,9306.92,382.6,707,0,0,0,6.122,70.7,7.2,0,
Equatorial Guinea,0.05,17,15850.7,170.18,0,0,0,0,,60.6,5.9,0,
Eritrea,12.93,36.7,1766.33,,0,0,0,0,,66.5,4.9,1055.26,
Estonia,-2.18,39.03,38286.14,763.95,1695,235,290,33273.851,6.455,77.1,13.5,2438.4,44.37
Eswatini,-1.65,25.28,9215.95,81.06,345.3,0,0,0,,57.1,5.6,497.56,
Ethiopia,-4.26,8.54,2909.06,487.85,518,5000,0,113.927,4.091,65,3.2,17068.5,
Fiji,-12.13,21.77,12057.83,70.48,168,0,0,0,,67.1,10.9,1140.02,
Finland,-4.24,52.19,49672.66,5903.5,896,781,982,757275.166,7.804,82,12.9,22409,54.62
France,-1.71,53.62,47788.45,56647,117109,7600,14900,21089734.24,6.661,82.5,11.6,17253,24.54
Gabon,1.19,17.43,15389.55,311.45,0,0,0,23.866,5.035,65.8,9.4,23530.6,
